background,n. （画等的）背景；底色；背景资料；配乐
tench,n. 丁鲷
goldfish,n. 金鱼
great white shark,噬人鲨
tiger shark,沙鲨
hammerhead,n. 锤头；,adj. 锤头状的，鲁钝的
electric ray,n. 电鳐
stingray,n. 黄貂鱼
cock,n. 公鸡；成熟雄鸟；首领，领导；龙头,vt. 使某物竖起；使某物倾斜；使朝上；扳上扳机,vi. 翘起，竖起；大摇大摆
hen,n. 母鸡；雌禽；女人
ostrich,n. 鸵鸟；逃避现实的人
brambling,n. 燕雀；花鸡
goldfinch,n. 金翅雀
house finch,No Translation found
junco,n. 灯芯草雀
indigo bunting,[鸟类]蓝鹀(Passerinacyanea)
robin,n. 知更鸟，鸫；（签名者不分先后，以避免受责的）圆形签名抗议书（或请愿书）
bulbul,n. 夜莺
jay,n. 松鸦；过分多嘴的人；喋喋不休的人
magpie,n. 喜鹊；饶舌者；有收集零碎东西癖好的人；爱说话的人,adj. 鹊的；有收集癖的；混杂的；斑驳的
chickadee,n. （美洲所产的）山雀；无冠山雀
water ouzel,n. 河鸟，潜鸟
kite,n. 风筝；鸢（猛禽）；空头支票；光棍,vt. 涂改（支票）；使上涨；上升；,vi. 使用空头支票；轻快地移动
bald eagle,n. 秃头鹰，秃头政治家
vulture,n. 秃鹰，秃鹫；贪婪的人；劫掠者
great grey owl,No Translation found
European fire salamander,No Translation found
common newt,No Translation found
eft,n. 水蜥，小蜥蜴
spotted salamander,[动物]斑点钝口螈
axolotl,n. 蝾螈
bullfrog,n. 牛蛙，菜蛙
tree frog,n. 树蛙，雨蛙
tailed frog,No Translation found
loggerhead,n. 傻子，（溶解柏油或加热液体用的）铁球棒
leatherback turtle,No Translation found
mud turtle,n. （美国产的）淡水龟
terrapin,n. （北美的）淡水龟
box turtle,[动物](产于北美洲的)箱龟[亦作boxtortoise]
banded gecko,No Translation found
common iguana,No Translation found
American chameleon,绿安乐蜥
whiptail,鞭尾症
agama,n. 飞龙科蜥蜴
frilled lizard,[动物]摺鳃蜥;澳洲热带蜥蜴(chlamydosauruskingi)
alligator lizard,No Translation found
Gila monster,毒蜥
green lizard,No Translation found
African chameleon,No Translation found
Komodo dragon,（印尼）巨蜥
African crocodile,No Translation found
American alligator,美洲钝吻鳄
triceratops,n. 三角恐龙
thunder snake,蠕形壳蛇
ringneck snake,No Translation found
hognose snake,n. 猪鼻蛇（北美产的一种无毒蛇）
green snake,青蛇
king snake,[动物]王蛇(Lampropeltisgetulus)
garter snake,[医]乌蛇，乌梢蛇
water snake,n. 水蛇；游蛇
vine snake,No Translation found
night snake,[动物]夜蛇（Hypsiglenatorquata）
boa constrictor,n. 大蟒蛇；王蛇
rock python,No Translation found
Indian cobra,[医]印度眼镜蛇
green mamba,No Translation found
sea snake,n. （印度洋，西太平洋热带海域的）海蛇
horned viper,角腹蛇
diamondback,adj. 有菱形斑纹的；,n. 菱形斑纹
sidewinder,侧滚
trilobite,n. 三叶虫
harvestman,n. 收割者，盲蜘蛛
scorpion,n. 蝎子
black and gold garden spider,No Translation found
barn spider,No Translation found
garden spider,园蛛
black widow,n. 黑寡妇（一种美洲蜘蛛）
tarantula,n. 鸟蛛，狼蛛
wolf spider,[昆虫]狼蛛(Lycosidae科，一种多毛的大蜘蛛，不用结网而游荡捕食)
tick,n. 钩号；一瞬间；壁虱；钟的嘀嗒声,v. 发出滴答声；在（纸）上打钩；做出…举动
centipede,n. 蜈蚣
black grouse,[鸟类]黑琴鸡(Lyrurustetrix)[亦作blackgame]
ptarmigan,n. 松鸡类
ruffed grouse,披肩鸡；披肩榛鸡
prairie chicken,[鸟类](北美产的)草原榛鸡(Tympanuchuscupido)
peacock,n. （雄）孔雀，孔雀；爱虚荣的人；爱炫弄自己的人；[天]孔雀座,vi. 炫耀，招摇过市；趾高气扬地走
quail,n. 鹌鹑；鹌鹑肉；女大学生；,vi. 沮丧；畏缩，胆怯；感到恐惧；,vt. 使沮丧；使畏缩
partridge,n. 山鹑
African grey,No Translation found
macaw,n. 金刚鹦鹉，美国棕榈
sulphur-crested cockatoo,No Translation found
lorikeet,n. 青绿色小鹦鹉，吸蜜鹦鹉；短尾鹦鹉
coucal,n. 褐翅鸦鹃（属杜鹃科，外形似雉）
bee eater,n. 食蜂鸟
hornbill,n. 犀鸟，犀鸟科
hummingbird,n. 蜂鸟
jacamar,n. 嗡裂（一种产于美洲的食虫鸟，嘴尖，羽毛呈青铜色）；鹟䴕
toucan,n. 巨嘴鸟，犀鸟
drake,n. 公鸭，蜉蝣类
red-breasted merganser,No Translation found
goose,n. 鹅；鹅肉；雌鹅；傻瓜,v. 拧或掐屁股；忽然加满油；催促
black swan,[鸟类]黑天鹅(Cygnusatratus,产于澳洲)；稀世之珍，稀有之物，珍品
tusker,n. 有长牙的动物（如象、海象、野猪等）
echidna,n. 单孔目哺乳动物，针鼹鼠
platypus,n. 鸭嘴兽
wallaby,n. 沙袋鼠；澳洲土人（尤指女人）
koala,n. 树袋熊；考拉
